case_id,project_id,disease_id,voc_id,log2_fold_change,target_ppb,healthy_ppb,primary_site,primary_diagnosis,ajcc_pathologic_stage,stage_num,label_origin,study_id,source
real::head_neck_cancer::10.1038/bjc.2014.361,head_neck_cancer,head_neck_cancer,isoprene,-0.3,85.28650161740474,105.0,head_neck,Head and neck cancer,,2.0,literature:mixed,10.1038/bjc.2014.361,literature_panel
real::head_neck_cancer::10.1038/bjc.2014.361,head_neck_cancer,head_neck_cancer,2_butanone,0.6,1.8188598798124775,1.2,head_neck,Head and neck cancer,,2.0,literature:mixed,10.1038/bjc.2014.361,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,isopropanol,0.65,39.22920489483754,25.0,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,phenol,0.65,5.492088685277255,3.5,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,benzaldehyde,-0.45,0.8784514175673752,1.2,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,propanol,-0.45,8.784514175673753,12.0,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,pentane,0.65,13.337929664244763,8.5,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,nonanal,0.45,6.830201283771977,5.0,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,hexanal,1.843,15.067721082321848,4.2,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,heptanal,0.906,5.808912970609039,3.1,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,benzaldehyde,0.65,1.8830018349522017,1.2,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,ethyl_acetate,0.65,5.492088685277255,3.5,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,ethane,1.227,5.851993207372949,2.5,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,2_pentanone,0.65,2.196835474110902,1.4,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::ards::10.1183/09031936.00005614,ards,ards,hexanal,0.65,6.590506422332707,4.2,lung,ARDS,,2.0,literature:mixed,10.1183/09031936.00005614,literature_panel
real::ards::10.1183/09031936.00005614,ards,ards,octanal,0.6,3.3345764463228758,2.2,lung,ARDS,,2.0,literature:mixed,10.1183/09031936.00005614,literature_panel
real::ards::10.1183/09031936.00005614,ards,ards,heptanal,0.55,4.538665657431439,3.1,lung,ARDS,,2.0,literature:mixed,10.1183/09031936.00005614,literature_panel
real::ards::10.1183/09031936.00005614,ards,ards,acetaldehyde,0.6,22.73574849765597,15.0,lung,ARDS,,2.0,literature:mixed,10.1183/09031936.00005614,literature_panel
real::head_neck_cancer::10.1038/bjc.2014.361,head_neck_cancer,head_neck_cancer,acetone,0.4,629.4052734386705,477.0,head_neck,Head and neck cancer,,2.0,literature:mixed,10.1038/bjc.2014.361,literature_panel
real::head_neck_cancer::10.1038/bjc.2014.361,head_neck_cancer,head_neck_cancer,ethanol,1.247,284.8168314375677,120.0,head_neck,Head and neck cancer,,2.0,literature:mixed,10.1038/bjc.2014.361,literature_panel
real::ards::10.1183/09031936.00005614,ards,ards,acetone,0.45,651.6012024718466,477.0,lung,ARDS,,2.0,literature:mixed,10.1183/09031936.00005614,literature_panel
real::ards::10.1183/09031936.00005614,ards,ards,ethanol,0.35,152.94727527831148,120.0,lung,ARDS,,2.0,literature:mixed,10.1183/09031936.00005614,literature_panel
real::tuberculosis::10.1016/j.tube.2006.03.004,tuberculosis,tuberculosis,benzene,0.6,1.2125732532083184,0.8,lung,Tuberculosis,,2.0,literature:directional_only,10.1016/j.tube.2006.03.004,literature_panel
real::pneumonia_bacterial::10.1038/srep17179,pneumonia_bacterial,pneumonia_bacterial,ammonia,0.4,329.8769776932235,250.0,lung,Bacterial pneumonia,,2.0,literature:directional_only,10.1038/srep17179,literature_panel
